Name                                                                                                                                            Stmts   Miss  Cover
virt/lib/python3.4/site-packages/django/utils/html_parser                                                                                          82     74    10%
virt/lib/python3.4/site-packages/django/utils/http                                                                                                135     82    39%
virt/lib/python3.4/site-packages/django/utils/image                                                                                                38     18    53%
virt/lib/python3.4/site-packages/django/utils/importlib                                                                                            26     21    19%
virt/lib/python3.4/site-packages/django/utils/ipv6                                                                                                108     99     8%
virt/lib/python3.4/site-packages/django/utils/itercompat                                                                                           17      8    53%
virt/lib/python3.4/site-packages/django/utils/log                                                                                                  61     34    44%
virt/lib/python3.4/site-packages/django/utils/module_loading                                                                                       66     35    47%
virt/lib/python3.4/site-packages/django/utils/numberformat                                                                                         31     27    13%
virt/lib/python3.4/site-packages/django/utils/regex_helper                                                                                        188     70    63%
virt/lib/python3.4/site-packages/django/utils/safestring                                                                                           62     30    52%
virt/lib/python3.4/site-packages/django/utils/six                                                                                                 346    166    52%
virt/lib/python3.4/site-packages/django/utils/synch                                                                                                59     41    31%
virt/lib/python3.4/site-packages/django/utils/termcolors                                                                                           57     40    30%
virt/lib/python3.4/site-packages/django/utils/text                                                                                                227    162    29%
virt/lib/python3.4/site-packages/django/utils/timesince                                                                                            30     23    23%
virt/lib/python3.4/site-packages/django/utils/timezone                                                                                            124     52    58%
virt/lib/python3.4/site-packages/django/utils/translation/__init__                                                                                110     47    57%
virt/lib/python3.4/site-packages/django/utils/translation/trans_real                                                                              411    264    36%
virt/lib/python3.4/site-packages/django/utils/tree                                                                                                 50     19    62%
virt/lib/python3.4/site-packages/django/utils/tzinfo                                                                                               54     35    35%
virt/lib/python3.4/site-packages/django/utils/unittest/__init__                                                                                    23     17    26%
virt/lib/python3.4/site-packages/django/utils/unittest/util                                                                                        74     67     9%
virt/lib/python3.4/site-packages/django/utils/version                                                                                              29     15    48%
virt/lib/python3.4/site-packages/django/utils/xmlutils                                                                                              8      5    38%
virt/lib/python3.4/site-packages/django/views/__init__                                                                                              0      0   100%
virt/lib/python3.4/site-packages/django/views/debug                                                                                               291    242    17%
virt/lib/python3.4/site-packages/django/views/decorators/__init__                                                                                   0      0   100%
virt/lib/python3.4/site-packages/django/views/decorators/cache                                                                                     27     18    33%
virt/lib/python3.4/site-packages/django/views/decorators/csrf                                                                                      27      6    78%
virt/lib/python3.4/site-packages/django/views/decorators/debug                                                                                     21     13    38%
virt/lib/python3.4/site-packages/django/views/decorators/http                                                                                      72     45    38%
virt/lib/python3.4/site-packages/django/views/generic/__init__                                                                                      7      0   100%
virt/lib/python3.4/site-packages/django/views/generic/base                                                                                        105     38    64%
virt/lib/python3.4/site-packages/django/views/generic/dates                                                                                       320    217    32%
virt/lib/python3.4/site-packages/django/views/generic/detail                                                                                       77     23    70%
virt/lib/python3.4/site-packages/django/views/generic/edit                                                                                        111     61    45%
virt/lib/python3.4/site-packages/django/views/generic/list                                                                                         89     31    65%
